model_name,time (best),time (avg),time (std),size (best),size (avg),size (std),perf (exp),perf (std)
qt_strategy,0.0,0.0,0.0,185.0,185.0,0.0,827.257,9.08117
dt_original,0.0330286860116757,0.0354806653980631,0.0029786426641415,362.0,401.4,55.52152735651281,825.721,8.99462
max_parts,0.0869944079895503,0.090090943389805,0.0031980794700797,120.0,121.4,0.8,0.0,0.0
max_parts,0.0992969140061177,0.1044163347920403,0.0066381940037755,146.0,148.0,2.0976176963403037,831.39,9.09799
dt_prune_10,0.0608870929863769,0.0629947993962559,0.0015928387543351,90.0,94.6,4.176122603564219,828.66,9.41274
