difficulty,start,stop,step
0.01,1,3,1
0.02,0,2,1
0.05,5,6,1
0.07,10,13,1
0.08,14,17,1
0.1,20,23,1
0.11,22,24,1
0.13,27,30,1
0.14,28,30,1
0.16,30,33,1
0.17,32,35,1
0.18,34,37,1
0.2,37,40,1
0.21,39,42,1
0.23,42,45,1
0.25,43,46,1
0.27,46,49,1
0.3,50,65,5
0.34,57,72,5
0.35,64,79,5
0.37,78,93,5
0.39,89,104,5
0.41,100,115,5
0.44,112,127,5
0.45,130,145,5
0.48,147,162,5
0.5,164,179,5
0.52,180,195,5
0.55,195,210,5
0.58,209,224,5
0.6,223,253,10
0.61,236,266,10
0.63,248,278,10
0.64,259,289,10
0.65,271,301,20
0.67,284,314,10
0.69,296,326,10
0.7,308,338,10
0.72,321,351,10
0.73,333,363,10
0.75,346,376,10
0.78,359,389,10
0.8,370,400,10
0.81,385,415,10
0.83,399,429,10
0.84,408,438,10
0.87,420,450,10
0.88,435,465,10
0.89,447,477,10
0.9,458,488,10
0.93,469,499,10
0.94,483,513,10
0.96,494,524,10
0.97,500,530,10
0.99,513,543,10
